bus_number,from_location,to_location,route
15A,Mangaladevi,Katipalla,Mangaladevi – Morgan Gate – Nandigudda – Kankanady – Mallikatte – Kadri Market– Nanthur – Akashavani – Bejai – KSRTC Bus Stand – Bharat Mall – Lalbagh – Ladyhill – Kuloor – Baikampady – Surathkal – Krishnapur – Katipalla.
15B,Mangaladevi,Chelairpadavu,Mangaladevi – Morgan Gate – Nandigudda – Kankanady – Mallikatte – Kadri Market– Nanthur – Akashavani – Bejai – KSRTC Bus Stand – Bharat Mall – Lalbagh – Ladyhill – Kuloor – Baikampady – Surathkal – Krishnapur – Katipalla – Chelairpadavu.
16,State Bank,Sulthan Battery,State Bank – Mission Street – Azizzudin Road – Kandathpalli – Mandi – Gokarnath Temple – Kudroli – Bokkapatna – Boloor – Sulthan Battery.
16A,State Bank,Sulthan Battery,State Bank – Car Street – Alake – Kudroli – Bokkapatna – Boloor – Sulthan Battery.
17,State Bank,Kunjathbail,State Bank – K.S. Rao Road – PVS – Empire Mall – Ballalbagh – Lalbagh – Saibeen Complex – Bharat Mall – KSRTC Bus Stand – Kapikad – Balebail – Kottara Cross – Kuntikana –Konchadi – Mullakadu – Kavoor – Maravoor – Kunjathbail.
17A,State Bank,Kunjathbail,State Bank – K.S. Rao Road – PVS – Empire Mall – Ballalbagh – Lalbagh – Saibeen Complex – Bharat Mall – KSRTC Bus Stand – Kapikad – Balebail – Kottara Cross – Kuntikana –Konchadi – Mullakadu – Kavoor – Maravoor – Kunjathbail.
17B,State Bank,Kunjathbail,State Bank – K.S. Rao Road – PVS – Empire Mall – Ballalbagh – Lalbagh – Saibeen Complex – Bharat Mall – KSRTC Bus Stand – Kapikad – Balebail – Kottara Cross – Kuntikana –Konchadi – Mullakadu – Kavoor – Maravoor – Kunjathbail.
18,State Bank,Morgan Gate,State Bank – Pandeshwar – Hoige Bazar – Bolar – Jeppu Market – Morgan Gate.
19,State Bank,Pacchanady,State Bank – Hampankatta – Jyothi – PVS – Empire Mall – Ballalbagh – Lalbagh – Saibeen Complex – Bharat Mall – KSRTC Bus Stand – Bejai – K.P.T – Yeyyadi – Konchadi – Padavinangadi – Bondel – Pacchanady.
21,State Bank,Neermarga,State Bank – Jyothi – Bunts Hostel – Mallikatte – Kadri – Nanthur – Bikkarnakatta – Kulshekar – Kaikamba – Neermarga.
